No.,Provinsi,Peserta Laki-laki,Peserta Perempuan,Peserta Jumlah,Lulusan Laki-laki,Lulusan Perempuan,Lulusan Jumlah
1,DKI Jakarta,14.569,13.997,28.566,14.567,13.996,28.563
2,Jawa Barat,41.763,45.254,87.017,41.690,45.189,86.879
3,Banten,11.903,12.160,24.063,11.857,12.141,23.998
4,Jawa Tengah,14.647,16.912,31.559,14.622,16.887,31.509
5,DI Yogyakarta,2.813,2.637,5.450,2.813,2.635,5.448
6,Jawa Timur,28.527,32.943,61.470,28.347,32.827,61.174
7,Aceh,2.485,3.055,5.540,2.477,3.043,5.520
8,Sumatera Utara,21.400,24.758,46.158,21.145,24.604,45.749
9,Sumatera Barat,2.715,2.077,4.792,2.691,2.070,4.761
10,Riau,3.518,3.703,7.221,3.509,3.701,7.210
11,Kepulauan Riau,1.195,1.376,2.571,1.193,1.376,2.569
12,Jambi,1.295,1.496,2.791,1.294,1.495,2.789
13,Sumatera Selatan,7.710,7.052,14.762,7.629,7.025,14.654
14,Kep. Bangka Belitung,664,652,1.316,663,652,1.315
15,Bengkulu,604,382,986,600,380,980
16,Lampung,6.238,6.835,13.073,6.217,6.820,13.037
17,Kalimantan Barat,4.637,4.986,9.623,4.611,4.975,9.586
18,Kalimantan Tengah,940,965,1.905,940,964,1.904
19,Kalimantan Selatan,995,1.158,2.153,994,1.157,2.151
20,Kalimantan Timur,2.056,2.226,4.282,2.055,2.226,4.281
21,Kalimantan Utara,445,390,835,442,386,828
22,Sulawesi Utara,2.355,2.368,4.723,2.335,2.347,4.682
23,Gorontalo,211,231,442,211,230,441
24,Sulawesi Tengah,1.011,1.130,2.141,1.007,1.116,2.123
25,Sulawesi Selatan,6.435,5.795,12.230,6.371,5.753,12.124
26,Sulawesi Barat,177,183,360,177,183,360
27,Sulawesi Tenggara,1.140,820,1.960,1.131,809,1.940
28,Maluku,2.038,1.858,3.896,2.012,1.843,3.855
29,Maluku Utara,1.473,1.389,2.862,1.464,1.382,2.846
30,Bali,2.794,2.262,5.056,2.794,2.261,5.055
31,Nusa Tenggara Barat,3.476,3.085,6.561,3.410,3.045,6.455
32,Nusa Tenggara Timur,9.604,10.721,20.325,9.491,10.678,20.169
33,Papua,1.702,1.593,3.295,1.694,1.584,3.278
34,Papua Barat,563,578,1.141,563,575,1.138
35,Papua Selatan,393,293,686,377,288,665
36,Papua Tengah,889,809,1.698,882,805,1.687
37,Papua Pegunungan,642,528,1.170,641,526,1.167
38,Papua Barat Daya,593,568,1.161,583,564,1.147
39,Luar Negeri,13,19,32,13,19,32
,Indonesia,206.628,219.244,425.872,205.512,218.557,424.069
