No.,Provinsi,Peserta Laki-laki,Peserta Perempuan,Peserta Jumlah,Lulusan Laki-laki,Lulusan Perempuan,Lulusan Jumlah
1,DKI Jakarta,24.887,28.763,53.650,24.877,28.756,53.633
2,Jawa Barat,102.645,126.824,229.469,102.575,126.766,229.341
3,Banten,29.383,34.680,64.063,29.339,34.649,63.988
4,Jawa Tengah,50.924,85.678,136.602,50.905,85.657,136.562
5,DI Yogyakarta,7.664,10.821,18.485,7.663,10.821,18.484
6,Jawa Timur,76.753,100.353,177.106,76.678,100.309,176.987
7,Aceh,20.349,23.180,43.529,20.258,23.131,43.389
8,Sumatera Utara,55.459,68.962,124.421,55.294,68.819,124.113
9,Sumatera Barat,20.236,27.994,48.230,20.212,27.975,48.187
10,Riau,23.423,28.922,52.345,23.385,28.892,52.277
11,Kepulauan Riau,6.812,8.475,15.287,6.807,8.470,15.277
12,Jambi,12.026,13.791,25.817,12.007,13.780,25.787
13,Sumatera Selatan,31.254,36.771,68.025,31.187,36.724,67.911
14,Bangka Belitung,4.289,5.195,9.484,4.289,5.195,9.484
15,Bengkulu,7.112,8.711,15.823,7.098,8.704,15.802
16,Lampung,22.377,27.891,50.268,22.358,27.868,50.226
17,Kalimantan Barat,19.280,22.385,41.665,19.231,22.346,41.577
18,Kalimantan Tengah,9.481,10.370,19.851,9.456,10.353,19.809
19,Kalimantan Selatan,10.500,11.981,22.481,10.491,11.976,22.467
20,Kalimantan Timur,11.045,13.901,24.946,11.032,13.884,24.916
21,Kalimantan Utara,2.766,2.991,5.757,2.761,2.988,5.749
22,Sulawesi Utara,9.920,11.099,21.019,9.896,11.077,20.973
23,Gorontalo,4.273,5.629,9.902,4.264,5.621,9.885
24,Sulawesi Tengah,11.934,13.955,25.889,11.915,13.915,25.830
25,Sulawesi Selatan,33.283,42.492,75.775,33.192,42.409,75.601
26,Sulawesi Barat,4.722,5.783,10.505,4.720,5.782,10.502
27,Sulawesi Tenggara,14.878,16.921,31.799,14.813,16.877,31.690
28,Maluku,11.955,12.292,24.247,11.940,12.275,24.215
29,Maluku Utara,6.738,7.089,13.827,6.724,7.074,13.798
30,Bali,15.227,15.391,30.618,15.218,15.375,30.593
31,Nusa Tenggara Barat,16.570,17.867,34.437,16.531,17.828,34.359
32,Nusa Tenggara Timur,28.743,35.488,64.231,28.613,35.414,64.027
33,Papua,11.129,10.142,21.271,11.082,10.097,21.179
34,Papua Barat,4.542,4.566,9.108,4.530,4.556,9.086
35,Luar Negeri,96,99,195,96,99,195
,Indonesia,722.675,897.452,1.620.127,721.437,896.462,1.617.899
